some_file.extesion,1
Fitbit,2
Nike Wrist,3
Fitbit,4
Nike Wrist,5
some_file.extesion,6
Fitbit,7
some_file.extesion,8
Fitbit,9
Nike Wrist,10
some_file.extesion,11
Fitbit,12
Fitbit,13
Fitbit,14
some_file.extesion,15
Fitbit,16
Nike Wrist,17
Nike Wrist,18
Fitbit,19
Fitbit,20
Nike Wrist,21
some_file.extesion,22
Nike Wrist,23
Nike Wrist,24
Fitbit,25
some_file.extesion,26
some_file.extesion,27
some_file.extesion,28
some_file.extesion,29
Nike Wrist,30
Nike Wrist,31
Fitbit,32
Fitbit,33
Fitbit,34
some_file.extesion,35
some_file.extesion,36
Fitbit,37
Fitbit,38
Fitbit,39
Fitbit,40
Nike Wrist,41
some_file.extesion,42
some_file.extesion,43
some_file.extesion,44
Fitbit,45
some_file.extesion,46
Nike Wrist,47
Fitbit,48
Nike Wrist,49
some_file.extesion,50
